t,x0,x1,x2,x3,x4,x5,x6,x7
1.153557682037353516e+01,5.024401098489761353e-02,-1.369259320199489594e-02,2.051763149211183190e-04,-1.542339887237176299e-04,1.407102495431900024e-01,-2.506098896265029907e-02,7.900758832693099976e-02,-1.835594326257705688e-02
1.153657722473144531e+01,5.023031681776046753e-02,-1.368886232376098633e-02,2.050220791716128588e-04,-1.541187084512785077e-04,1.406851857900619507e-01,-2.505652047693729401e-02,7.898923009634017944e-02,-1.835167780518531799e-02
1.153757667541503906e+01,5.021662637591362000e-02,-1.368513237684965134e-02,2.048679598374292254e-04,-1.540035154903307557e-04,1.406601220369338989e-01,-2.505205199122428894e-02,7.897087931632995605e-02,-1.834741234779357910e-02
1.153857707977294922e+01,5.020293965935707092e-02,-1.368140336126089096e-02,2.047139569185674191e-04,-1.538884098408743739e-04,1.406350731849670410e-01,-2.504758536815643311e-02,7.895252853631973267e-02,-1.834314875304698944e-02
1.153957653045654297e+01,5.018925666809082031e-02,-1.367767527699470520e-02,2.045600704150274396e-04,-1.537733769509941339e-04,1.406100243330001831e-01,-2.504311874508857727e-02,7.893418520689010620e-02,-1.833888702094554901e-02
1.154057693481445312e+01,5.017557740211486816e-02,-1.367394812405109406e-02,2.044063003268092871e-04,-1.536584313726052642e-04,1.405849754810333252e-01,-2.503865212202072144e-02,7.891584932804107666e-02,-1.833462528884410858e-02
1.154157733917236328e+01,5.016190186142921448e-02,-1.367022190243005753e-02,2.042526466539129615e-04,-1.535435731057077646e-04,1.405599415302276611e-01,-2.503418736159801483e-02,7.889751344919204712e-02,-1.833036541938781738e-02
1.154257678985595703e+01,5.014823004603385925e-02,-1.366649661213159561e-02,2.040991093963384628e-04,-1.534288021503016353e-04,1.405349075794219971e-01,-2.502972260117530823e-02,7.887918502092361450e-02,-1.832610554993152618e-02
1.154357719421386719e+01,5.013456195592880249e-02,-1.366277225315570831e-02,2.039456740021705627e-04,-1.533141185063868761e-04,1.405098736286163330e-01,-2.502525970339775085e-02,7.886085659265518188e-02,-1.832184754312038422e-02
1.154457759857177734e+01,5.012089759111404419e-02,-1.365904882550239563e-02,2.037923550233244896e-04,-1.531995221739634871e-04,1.404848545789718628e-01,-2.502079680562019348e-02,7.884253561496734619e-02,-1.831758953630924225e-02
1.154557704925537109e+01,5.010723695158958435e-02,-1.365532632917165756e-02,2.036391524598002434e-04,-1.530850131530314684e-04,1.404598355293273926e-01,-2.501633577048778534e-02,7.882421463727951050e-02,-1.831333339214324951e-02
1.154657745361328125e+01,5.009358003735542297e-02,-1.365160476416349411e-02,2.034860663115978241e-04,-1.529705914435908198e-04,1.404348164796829224e-01,-2.501187473535537720e-02,7.880590111017227173e-02,-1.830907724797725677e-02
1.154757690429687500e+01,5.007992684841156006e-02,-1.364788506180047989e-02,2.033330965787172318e-04,-1.528562570456415415e-04,1.404097974300384521e-01,-2.500741370022296906e-02,7.878759503364562988e-02,-1.830482296645641327e-02
1.154857730865478516e+01,5.006627738475799561e-02,-1.364416629076004028e-02,2.031802432611584663e-04,-1.527419954072684050e-04,1.403847932815551758e-01,-2.500295452773571014e-02,7.876928895711898804e-02,-1.830056868493556976e-02
1.154957771301269531e+01,5.005263164639472961e-02,-1.364044845104217529e-02,2.030275063589215279e-04,-1.526278210803866386e-04,1.403597891330718994e-01,-2.499849535524845123e-02,7.875099033117294312e-02,-1.829631626605987549e-02
1.155057716369628906e+01,5.003898963332176208e-02,-1.363673154264688492e-02,2.028748713200911880e-04,-1.525137340649962425e-04,1.403347849845886230e-01,-2.499403804540634155e-02,7.873269170522689819e-02,-1.829206384718418121e-02
1.155157756805419922e+01,5.002535134553909302e-02,-1.363301556557416916e-02,2.027223526965826750e-04,-1.523997343610972166e-04,1.403097957372665405e-01,-2.498958073556423187e-02,7.871440052986145020e-02,-1.828781329095363617e-02
1.155257797241210938e+01,5.001171678304672241e-02,-1.362930051982402802e-02,2.025699504883959889e-04,-1.522858219686895609e-04,1.402848064899444580e-01,-2.498512528836727142e-02,7.869610935449600220e-02,-1.828356273472309113e-02
1.155357742309570312e+01,4.999808594584465027e-02,-1.362558640539646149e-02,2.024176646955311298e-04,-1.521719968877732754e-04,1.402598172426223755e-01,-2.498066984117031097e-02,7.867782562971115112e-02,-1.827931404113769531e-02
